@RELATION 'church0.names'

@ATTRIBUTE chip_affymetrix_chip {A,B,C,D,A-D}
@ATTRIBUTE pp_number_of_probe_pairs numeric
@ATTRIBUTE a_fy4_a numeric
@ATTRIBUTE alpha_fy5_alpha numeric
@ATTRIBUTE gal_gal numeric
@ATTRIBUTE heat_heat numeric
@ATTRIBUTE rel_alpha_fy5_alpha numeric
@ATTRIBUTE rel_gal_gal numeric
@ATTRIBUTE rel_heat_heat numeric
@ATTRIBUTE avg_abund numeric
@ATTRIBUTE median_deviation_of_log_fc_gal numeric
@ATTRIBUTE sig_gal numeric
@ATTRIBUTE sig_and_fc_gal numeric
@ATTRIBUTE median_deviation_of_log_fc_fy5_alpha numeric
@ATTRIBUTE sig_fy5_alpha numeric
@ATTRIBUTE sig_and_fc_fy5_alpha numeric
@ATTRIBUTE median_deviation_of_log_fc_heat numeric
@ATTRIBUTE sig_heat numeric
@ATTRIBUTE sig_and_fc_heat numeric
@ATTRIBUTE thrshld_1=below_detection_fy4_a numeric
@ATTRIBUTE thrshld_1=below_detection_fy5_alpha numeric
@ATTRIBUTE thrshld_1=below_detection_gal numeric
@ATTRIBUTE thrshld_1=below_detection_heat numeric
@ATTRIBUTE thrshld_gal numeric
@ATTRIBUTE thrshld_fy5_alpha numeric
@ATTRIBUTE thrshld_heat numeric
@ATTRIBUTE below_threshold_in_all_conditions numeric
@ATTRIBUTE class hierarchical 1/0/0/0,1/1/0/0,1/1/1/0,1/1/1/11,1/1/1/15,1/1/1/7,1/1/10/0,1/1/10/1,1/1/10/5,1/1/4/0,1/1/7/0,1/1/99/0,1/2/0/0,1/2/1/0,1/2/4/0,1/20/0/0,1/20/1/0,1/20/1/7,1/20/17/0,1/20/17/3,1/3/0/0,1/3/1/0,1/3/10/0,1/3/13/0,1/3/16/0,1/3/16/1,1/3/19/0,1/3/4/0,1/3/7/0,1/3/99/0,1/4/0/0,1/4/1/0,1/4/4/0,1/4/7/0,1/4/99/0,1/5/0/0,1/5/1/0,1/5/1/3,1/5/4/0,1/5/7/0,1/5/99/0,1/6/0/0,1/6/1/0,1/6/1/1,1/6/1/3,1/6/1/7,1/6/10/0,1/6/13/0,1/6/4/0,1/6/7/0,1/6/99/0,1/7/0/0,1/7/1/0,1/7/10/0,1/7/4/0,1/7/7/0,1/7/99/0,10/0/0/0,10/1/0/0,10/1/1/0,10/1/5/0,10/1/5/5,10/1/9/0,10/1/9/11,10/1/99/0,10/5/0/0,11/0/0/0,11/1/0/0,11/10/0/0,11/10/3/0,11/7/0/0,11/7/1/0,11/7/99/0,11/99/0/0,13/0/0/0,13/1/0/0,13/1/1/0,13/1/1/1,13/1/1/3,13/1/1/99,13/1/3/0,13/1/3/1,13/1/3/3,13/1/3/5,13/1/3/99,13/11/0/0,13/11/3/0,13/11/3/13,13/11/3/1,13/11/3/7,14/0/0/0,14/1/0/0,14/1/3/0,14/1/3/99,14/10/0/0,14/10/2/0,14/10/2/1,14/20/0/0,14/4/0/0,14/4/3/0,14/4/3/1,14/4/3/3,14/4/3/5,2/0/0/0,2/1/0/0,2/10/0/0,2/11/0/0,2/11/5/0,2/11/99/0,2/13/0/0,2/16/0/0,2/19/0/0,2/22/0/0,2/25/0/0,2/7/0/0,2/99/0/0,29/0/0/0,29/99/0/0,3/0/0/0,3/1/0/0,3/1/3/0,3/1/5/0,3/1/5/1,3/1/9/0,3/1/9/5,3/3/0/0,3/3/1/0,3/3/1/3,3/3/2/0,3/3/3/0,3/3/4/0,3/3/4/3,3/3/4/5,3/99/0/0,30/0/0/0,30/1/0/0,30/10/0/0,30/10/3/0,30/16/0/0,30/19/0/0,30/2/0/0,30/22/0/0,30/25/0/0,30/3/0/0,30/4/0/0,30/7/0/0,30/8/0/0,30/9/0/0,30/99/0/0,4/0/0/0,4/1/0/0,4/1/1/0,4/1/4/0,4/1/99/0,4/3/0/0,4/3/1/0,4/3/3/0,4/3/6/0,4/3/99/0,4/5/0/0,4/5/1/0,4/5/1/1,4/5/1/4,4/5/5/0,4/5/5/1,4/5/5/5,4/5/99/0,4/7/0/0,4/99/0/0,40/0/0/0,40/1/0/0,40/10/0/0,40/10/3/0,40/16/0/0,40/19/0/0,40/2/0/0,40/22/0/0,40/25/0/0,40/27/0/0,40/3/0/0,40/30/0/0,40/4/0/0,40/5/0/0,40/7/0/0,40/8/0/0,40/9/0/0,40/99/0/0,5/0/0/0,5/1/0/0,5/10/0/0,5/4/0/0,5/4/1/0,5/4/2/0,5/7/0/0,5/99/0/0,6/0/0/0,6/1/0/0,6/10/0/0,6/13/0/0,6/13/1/0,6/13/1/1,6/13/4/0,6/13/4/2,6/13/99/0,6/4/0/0,6/7/0/0,6/7/1/0,6/7/11/0,6/7/2/0,6/7/3/0,6/7/4/0,6/7/99/0,6/99/0/0,62/0/0/0,62/2/0/0,62/2/5/0,63/0/0/0,63/1/0/0,63/9/0/0,67/0/0/0,67/1/0/0,67/1/1/0,67/10/0/0,67/11/0/0,67/13/0/0,67/16/0/0,67/19/0/0,67/28/0/0,67/4/0/0,67/4/1/0,67/4/1/1,67/4/1/2,67/4/7/0,67/50/0/0,67/50/22/0,67/50/25/0,67/50/99/0,67/7/0/0,67/7/99/0,67/99/0/0,8/0/0/0,8/1/0/0,8/10/0/0,8/13/0/0,8/16/0/0,8/19/0/0,8/22/0/0,8/4/0/0,8/7/0/0,8/99/0/0

@DATA
C,20,0.4,0.1,0.3,0.3,0,0,0,0.24,0.13,0,0,0.57,0,0,0.17,0,0,1,1,1,1,5,5,5,1,3/3/2/0@4/5/1/4@40/10/0/0 %  ytymr139w
C,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,14/4/3/5@6/1/0/0@6/7/0/0 %  ytymr154c
C,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,6/13/4/0 %  ytymr159c
C,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,8/4/0/0 %  ytymr166c
C,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,2/99/0/0 %  ytymr170c
C,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,4/5/5/0 %  ytymr180c
C,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,4/5/1/4@40/10/0/0 %  ytymr182c
C,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,40/2/0/0@8/7/0/0 %  ytymr183c
C,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,40/16/0/0@5/1/0/0 %  ytymr193w
C,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,40/9/0/0@6/4/0/0@8/7/0/0 %  ytymr197c
C,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,3/3/1/0@40/3/0/0 %  ytymr199w
C,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,3/1/5/1@40/10/0/0 %  ytymr201c
C,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,40/7/0/0@6/4/0/0 %  ytymr214w
C,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,40/8/0/0@8/7/0/0 %  ytymr218c
C,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,6/13/1/0@6/7/0/0 %  ytymr223w
C,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,4/5/1/1@40/10/0/0 %  ytymr227c
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,40/25/0/0@6/4/0/0@8/7/0/0 %  ytymr231w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,14/4/3/3 %  ytymr232w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,11/1/0/0@14/4/3/1@3/3/1/0 %  ytymr273c
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,11/7/0/0@67/28/0/0 %  ytymr279c
D,20,0.1,0.1,0.1,0,0,0,0,0.07,0.37,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,1/4/1/0@2/13/0/0@40/16/0/0@5/7/0/0 %  ytymr282c
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,3/1/3/0@3/1/5/1@40/10/0/0 %  ytymr284w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,3/3/1/0@40/5/0/0@8/22/0/0 %  ytymr294w
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,1/5/1/0 %  ytymr306w
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,30/1/0/0 %  ytymr317w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,1/6/4/0@14/4/3/5@3/3/1/0@4/5/1/4@40/10/0/0 %  ytynl012w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,5/4/0/0@67/50/25/0 %  ytynl014w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,30/4/0/0 %  ytynl020c
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,8/4/0/0 %  ytynl083w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,1/6/99/0 %  ytynl106c
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,3/3/1/0@40/10/0/0@6/13/1/0@6/7/0/0 %  ytynl172w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,14/1/0/0@14/4/3/1 %  ytynl197c
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,3/1/5/1@3/3/2/0@40/10/0/0 %  ytynl250w
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,1/6/1/0@10/1/99/0@3/3/3/0@40/10/0/0 %  ytynl267w
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,40/3/0/0@40/9/0/0@8/16/0/0@8/7/0/0 %  ytynl272c
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,3/1/5/0 %  ytynl273w
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,3/3/1/0 %  ytynl299w
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,13/11/3/7@8/16/0/0 %  ytynl325c
D,20,0.1,0.1,0.1,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,1/5/1/0@6/7/0/0 %  ytynr059w
D,20,0.1,0.1,0.1,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,13/1/1/1 %  ytynr060w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,4/99/0/0 %  ytynr063w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,6/13/0/0 %  ytynr069c
D,20,0.1,0.1,0,0.1,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,1/5/7/0@40/2/0/0@67/7/0/0@8/19/0/0 %  ytynr072w
D,20,0.1,0.1,0.1,0,0,0,0,0.07,0.37,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,1/5/1/0 %  ytynr073c
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,30/25/0/0@40/22/0/0@40/25/0/0@6/4/0/0@8/13/0/0@8/19/0/0@8/7/0/0 %  ytyol018c
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,14/10/0/0@30/1/0/0@40/16/0/0 %  ytyol025w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,4/5/1/4@40/10/0/0 %  ytyol028c
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,3/1/5/0 %  ytyol034w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,3/3/1/0@40/3/0/0 %  ytyol076w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,3/3/2/0 %  ytyol091w
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,3/1/3/0 %  ytyol095c
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,3/3/2/0@40/10/3/0 %  ytyol104c
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,14/1/3/0 %  ytyol113w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,3/1/3/0@3/3/1/0@40/10/0/0 %  ytyol115w
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,6/7/0/0 %  ytyol141w
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,13/1/1/1 %  ytyol152w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,67/99/0/0 %  ytyol163w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,14/4/3/5@3/1/5/1@3/3/2/0@40/10/0/0 %  ytyor005c
D,20,0.1,0.1,0.1,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,67/50/25/0 %  ytyor011w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,3/3/1/3 %  ytyor026w
D,20,0.1,0.1,0,0.1,0,0,0,0.07,0.38,0,0,0.11,0,0,0.33,0,0,1,1,1,1,5,5,5,1,3/3/1/0@4/5/1/4@40/10/0/0 %  ytyor028c
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,14/4/3/1@30/1/0/0 %  ytyor030w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,4/5/5/1 %  ytyor148c
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,4/5/1/0@40/10/0/0 %  ytyor162c
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,1/6/1/0 %  ytyor171c
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,3/3/1/0 %  ytyor195w
D,20,0.1,0.1,0.1,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,4/3/6/0@40/10/0/0@40/16/0/0@40/3/0/0 %  ytyor274w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,14/4/3/5@3/3/2/0 %  ytyor298w
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,3/1/3/0@40/16/0/0 %  ytyor330c
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,6/13/1/0@6/7/0/0 %  ytyor339c
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,3/3/1/0@3/3/3/0 %  ytyor372c
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,3/3/1/0@40/10/0/0 %  ytypl008w
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,1/5/4/0@14/4/3/3@4/5/1/4@40/10/0/0 %  ytypl016w
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,40/16/0/0@5/10/0/0 %  ytypl040c
D,20,0.1,0.1,0,0.1,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,4/1/4/0@40/10/0/0 %  ytypl043w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,30/1/0/0@30/25/0/0@40/25/0/0@6/4/0/0@8/7/0/0 %  ytypl045w
D,20,0.1,0.1,0.1,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,6/13/0/0 %  ytypl072w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,6/13/1/0 %  ytypl074w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,4/5/1/4@40/10/0/0 %  ytypl082c
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,6/13/99/0@8/13/0/0@8/7/0/0 %  ytypl120w
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,40/5/0/0@8/1/0/0 %  ytypl124w
D,20,0.1,0.1,0.1,0,0,0,0,0.07,0.35,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,4/99/0/0@40/10/0/0 %  ytypl133c
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,11/1/0/0@14/1/3/0@14/4/3/1@3/3/1/0@30/1/0/0 %  ytypl140c
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,3/3/1/0@40/4/0/0@8/22/0/0 %  ytypl155c
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,1/5/4/0@13/11/3/7@14/1/3/99@14/4/3/1@14/4/3/3 %  ytypl161c
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,67/7/99/0 %  ytypl189w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,5/1/0/0 %  ytypl193w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,11/1/0/0@3/1/5/1@3/3/1/3 %  ytypl194w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,3/3/1/0 %  ytypl209c
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,4/5/5/1@6/10/0/0 %  ytypl213w
D,20,0.1,0.1,0.1,0,0,0,0,0.07,0.36,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,14/1/0/0@14/4/3/1@3/3/3/0@40/3/0/0 %  ytypl242c
D,20,0.1,0.1,0.1,0.1,0,0,0,0.08,0.33,0,0,0.11,0,0,0.33,0,0,1,1,1,1,5,5,5,1,40/3/0/0@6/4/0/0 %  ytypl243w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,1/5/4/0@4/5/1/4@40/10/0/0 %  ytypl248c
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,3/3/1/0@3/3/3/0@40/4/0/0 %  ytypl269w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,4/99/0/0 %  ytypr015c
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,3/3/1/0 %  ytypr046w
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,10/1/99/0@14/4/3/5 %  ytypr054w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,8/7/0/0 %  ytypr095c
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,14/4/3/1@6/7/0/0 %  ytypr122w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,11/1/0/0@14/4/3/3@3/3/1/0@3/3/2/0@30/10/0/0@40/5/0/0@6/10/0/0@8/22/0/0 %  ytypr141c
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,3/1/3/0@40/10/0/0 %  ytypr175w
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,6/13/1/0@6/7/0/0 %  ytypr180w
D,21,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,4/1/1/0@4/3/1/0@40/10/0/0 %  ytypr186c
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,11/99/0/0@40/10/0/0 %  ytypr189w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,4/1/1/0@4/3/1/0@40/10/0/0 %  ytypr190c
D,20,0.1,0.1,0,0.1,0,0,0,0.07,0.38,0,0,0.11,0,0,0.31,0,0,1,1,1,1,5,5,5,1,4/5/1/4@40/10/0/0 %  ytypr196w
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,11/7/0/0 %  ytypr200c
D,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,1,5,5,5,1,40/2/0/0@67/4/1/1 %  ytypr201w
A,20,0.2,0.19,0.19,0.17,-0.01,0,-0,0.19,0.17,0,0,0.13,0.1,0,0.09,0.44,0,?,?,?,?,5,?,1,0,40/7/0/0@40/8/0/0@8/7/0/0 %  ytyal042w
A,21,0.11,0.13,0.1,0.13,-0.01,0,0.04,0.11,0.09,0,0,0.11,0.1,0,0.06,0.67,0,?,?,1,?,5,?,?,0,1/5/1/0@14/4/3/1@14/4/3/3@14/4/3/5@30/1/0/0@40/2/0/0 %  ytybr023c
A,40,0.85,0.86,0.9,1.07,-0.01,-0.09,0,0.92,0.08,1.1,0,0.12,0.1,0,0.11,0,0,?,?,?,?,?,?,5,0,40/3/0/0@5/1/0/0 %  ytybr181c
A,20,0.3,0.31,0.48,0.44,-0.01,0.1,0.07,0.38,0.09,1.1,0,0.11,0.1,0,0.05,1.4,0,?,?,?,?,?,?,?,0,14/4/3/1@14/4/3/3@40/4/0/0@8/19/0/0 %  ytycr009c
A,20,0.24,0.27,0.24,0.38,-0.01,-0.02,0.1,0.28,0.08,0.3,0,0.11,0.1,0,0.07,1.43,0,?,?,?,?,?,?,?,0,13/1/1/99@67/50/22/0 %  ytydr039c
A,19,1.72,2,1.75,1.31,-0.01,0.02,-0.13,1.70,0.11,0.2,0,0.16,0.1,0,0.08,1.63,0,?,?,?,?,?,?,?,0,4/5/1/4@40/10/3/0 %  ytydr224c
B,21,0.07,0.1,0.1,0.1,-0,0,0,0.07,0.09,0,0,0.03,0.3,0,0.18,0,0,?,1,1,1,5,1,5,0,4/5/1/4 %  ytyer164w
B,20,0.1,0.1,0.1,0.07,-0,0,0,0.08,0.13,0,0,0.07,0.1,0,0.18,0,0,?,1,1,?,5,1,5,0,11/1/0/0 %  ytyfl059w
B,21,0.43,0.53,0.95,1.28,-0.01,0.3,0.39,0.80,0.1,3,1,0.06,0.2,0,0.13,3,1,?,?,?,?,?,?,?,0,1/7/1/0 %  ytyfr047c
B,20,0.45,0.57,0.52,0.98,-0.01,0,0.17,0.63,0.1,0,0,0.14,0.1,0,0.12,1.42,0,?,?,?,?,5,?,?,0,40/10/0/0@40/7/0/0@6/13/1/0 %  ytyfr050c
