@RELATION 'eisen0.names'

@ATTRIBUTE alpha_0 numeric
@ATTRIBUTE alpha_7 numeric
@ATTRIBUTE alpha_14 numeric
@ATTRIBUTE alpha_21 numeric
@ATTRIBUTE alpha_28 numeric
@ATTRIBUTE alpha_35 numeric
@ATTRIBUTE alpha_42 numeric
@ATTRIBUTE alpha_49 numeric
@ATTRIBUTE alpha_56 numeric
@ATTRIBUTE alpha_63 numeric
@ATTRIBUTE alpha_70 numeric
@ATTRIBUTE alpha_77 numeric
@ATTRIBUTE alpha_84 numeric
@ATTRIBUTE alpha_91 numeric
@ATTRIBUTE alpha_98 numeric
@ATTRIBUTE alpha_105 numeric
@ATTRIBUTE alpha_112 numeric
@ATTRIBUTE alpha_119 numeric
@ATTRIBUTE elu_0 numeric
@ATTRIBUTE elu_30 numeric
@ATTRIBUTE elu_60 numeric
@ATTRIBUTE elu_90 numeric
@ATTRIBUTE elu_120 numeric
@ATTRIBUTE elu_150 numeric
@ATTRIBUTE elu_180 numeric
@ATTRIBUTE elu_210 numeric
@ATTRIBUTE elu_240 numeric
@ATTRIBUTE elu_270 numeric
@ATTRIBUTE elu_300 numeric
@ATTRIBUTE elu_330 numeric
@ATTRIBUTE elu_360 numeric
@ATTRIBUTE elu_390 numeric
@ATTRIBUTE cdc15_10 numeric
@ATTRIBUTE cdc15_30 numeric
@ATTRIBUTE cdc15_50 numeric
@ATTRIBUTE cdc15_70 numeric
@ATTRIBUTE cdc15_90 numeric
@ATTRIBUTE cdc15_110 numeric
@ATTRIBUTE cdc15_130 numeric
@ATTRIBUTE cdc15_150 numeric
@ATTRIBUTE cdc15_170 numeric
@ATTRIBUTE cdc15_190 numeric
@ATTRIBUTE cdc15_210 numeric
@ATTRIBUTE cdc15_230 numeric
@ATTRIBUTE cdc15_250 numeric
@ATTRIBUTE cdc15_270 numeric
@ATTRIBUTE cdc15_290 numeric
@ATTRIBUTE spo_0 numeric
@ATTRIBUTE spo_2 numeric
@ATTRIBUTE spo_5 numeric
@ATTRIBUTE spo_7 numeric
@ATTRIBUTE spo_9 numeric
@ATTRIBUTE spo_11 numeric
@ATTRIBUTE spo5_2 numeric
@ATTRIBUTE spo5_7 numeric
@ATTRIBUTE spo5_11 numeric
@ATTRIBUTE spo__early numeric
@ATTRIBUTE spo__mid numeric
@ATTRIBUTE heat_0 numeric
@ATTRIBUTE heat_10 numeric
@ATTRIBUTE heat_20 numeric
@ATTRIBUTE heat_40 numeric
@ATTRIBUTE heat_80 numeric
@ATTRIBUTE heat_160 numeric
@ATTRIBUTE dtt_15 numeric
@ATTRIBUTE dtt_30 numeric
@ATTRIBUTE dtt_60 numeric
@ATTRIBUTE dtt_120 numeric
@ATTRIBUTE cold_0 numeric
@ATTRIBUTE cold_20 numeric
@ATTRIBUTE cold_40 numeric
@ATTRIBUTE cold_160 numeric
@ATTRIBUTE diau_540 numeric
@ATTRIBUTE diau_660 numeric
@ATTRIBUTE diau_780 numeric
@ATTRIBUTE diau_900 numeric
@ATTRIBUTE diau_1020 numeric
@ATTRIBUTE diau_1140 numeric
@ATTRIBUTE diau_1260 numeric
@ATTRIBUTE class hierarchical 1/0/0/0,1/1/0/0,1/1/1/0,1/1/1/11,1/1/1/15,1/1/1/7,1/1/10/0,1/1/10/1,1/1/10/5,1/1/4/0,1/1/7/0,1/1/99/0,1/2/0/0,1/2/1/0,1/2/4/0,1/20/0/0,1/20/1/0,1/20/1/7,1/20/17/0,1/20/17/3,1/3/0/0,1/3/1/0,1/3/10/0,1/3/13/0,1/3/16/0,1/3/16/1,1/3/19/0,1/3/4/0,1/3/7/0,1/3/99/0,1/4/0/0,1/4/1/0,1/4/4/0,1/4/7/0,1/4/99/0,1/5/0/0,1/5/1/0,1/5/1/3,1/5/4/0,1/5/7/0,1/5/99/0,1/6/0/0,1/6/1/0,1/6/1/1,1/6/1/3,1/6/1/7,1/6/10/0,1/6/13/0,1/6/4/0,1/6/7/0,1/6/99/0,1/7/0/0,1/7/1/0,1/7/10/0,1/7/4/0,1/7/7/0,1/7/99/0,10/0/0/0,10/1/0/0,10/1/1/0,10/1/5/0,10/1/5/5,10/1/9/0,10/1/9/11,10/1/99/0,10/5/0/0,11/0/0/0,11/1/0/0,11/10/0/0,11/10/3/0,11/7/0/0,11/7/1/0,11/7/99/0,11/99/0/0,13/0/0/0,13/1/0/0,13/1/1/0,13/1/1/1,13/1/1/3,13/1/1/99,13/1/3/0,13/1/3/1,13/1/3/3,13/1/3/5,13/1/3/99,13/11/0/0,13/11/3/0,13/11/3/13,13/11/3/1,13/11/3/7,14/0/0/0,14/1/0/0,14/1/3/0,14/1/3/99,14/10/0/0,14/10/2/0,14/10/2/1,14/20/0/0,14/4/0/0,14/4/3/0,14/4/3/1,14/4/3/3,14/4/3/5,2/0/0/0,2/1/0/0,2/10/0/0,2/11/0/0,2/11/5/0,2/11/99/0,2/13/0/0,2/16/0/0,2/19/0/0,2/22/0/0,2/25/0/0,2/7/0/0,2/99/0/0,29/0/0/0,29/99/0/0,3/0/0/0,3/1/0/0,3/1/3/0,3/1/5/0,3/1/5/1,3/1/9/0,3/1/9/5,3/3/0/0,3/3/1/0,3/3/1/3,3/3/2/0,3/3/3/0,3/3/4/0,3/3/4/3,3/3/4/5,3/99/0/0,30/0/0/0,30/1/0/0,30/10/0/0,30/10/3/0,30/16/0/0,30/19/0/0,30/2/0/0,30/22/0/0,30/25/0/0,30/3/0/0,30/4/0/0,30/7/0/0,30/8/0/0,30/9/0/0,30/99/0/0,4/0/0/0,4/1/0/0,4/1/1/0,4/1/4/0,4/1/99/0,4/3/0/0,4/3/1/0,4/3/3/0,4/3/6/0,4/3/99/0,4/5/0/0,4/5/1/0,4/5/1/1,4/5/1/4,4/5/5/0,4/5/5/1,4/5/5/5,4/5/99/0,4/7/0/0,4/99/0/0,40/0/0/0,40/1/0/0,40/10/0/0,40/10/3/0,40/16/0/0,40/19/0/0,40/2/0/0,40/22/0/0,40/25/0/0,40/27/0/0,40/3/0/0,40/30/0/0,40/4/0/0,40/5/0/0,40/7/0/0,40/8/0/0,40/9/0/0,40/99/0/0,5/0/0/0,5/1/0/0,5/10/0/0,5/4/0/0,5/4/1/0,5/4/2/0,5/7/0/0,5/99/0/0,6/0/0/0,6/1/0/0,6/10/0/0,6/13/0/0,6/13/1/0,6/13/1/1,6/13/4/0,6/13/4/2,6/13/99/0,6/4/0/0,6/7/0/0,6/7/1/0,6/7/11/0,6/7/2/0,6/7/3/0,6/7/4/0,6/7/99/0,6/99/0/0,62/0/0/0,62/2/0/0,62/2/5/0,63/0/0/0,63/1/0/0,63/9/0/0,67/0/0/0,67/1/0/0,67/1/1/0,67/10/0/0,67/11/0/0,67/13/0/0,67/16/0/0,67/19/0/0,67/28/0/0,67/4/0/0,67/4/1/0,67/4/1/1,67/4/1/2,67/4/7/0,67/50/0/0,67/50/22/0,67/50/25/0,67/50/99/0,67/7/0/0,67/7/99/0,67/99/0/0,8/0/0/0,8/1/0/0,8/10/0/0,8/13/0/0,8/16/0/0,8/19/0/0,8/22/0/0,8/4/0/0,8/7/0/0,8/99/0/0

@DATA
-0.22,-0.86,-0.17,0.03,0.16,-0.18,0.12,0.21,-0.12,-0.01,-0.29,-0.06,0.04,-0.01,-0.07,-0.2,0.11,0.07,-0.69,-0.64,-0.43,-0.43,0.07,0.34,-0.45,-0.43,-0.6,-0.15,-0.43,-0.81,-0.54,-0.27,0.04,0.28,0.34,1.66,-0.45,0.54,-0.3,0.29,0.1,-0.29,-0.38,1.23,-0.07,-0.1,0.24,-0.32,0.19,0.12,-0.12,0.08,-0.1,?,-0.76,-0.64,-0.89,-1.64,-0.34,-1.64,-0.47,-0.89,-0.71,-0.32,-0.67,-0.43,-0.67,-0.49,-0.64,0.25,0.61,0.97,-0.27,-0.22,0.01,-0.67,-0.76,-0.04,-0.62,40/16/0/0@8/4/0/0 %  ytybr104w
1.01,-0.3,-0.56,-0.45,-0.51,-0.25,-0.17,0.41,-0.09,0.41,-0.17,-0.03,-0.18,-0.03,-0.6,0.37,-0.04,0.1,0.79,0.11,0.5,-0.12,0.4,0.21,0.1,-0.17,-0.34,-0.3,0.19,-0.29,-0.56,-0.22,0.56,0.52,0.19,0.01,-0.29,0.21,0.18,-0.04,?,0.25,0.01,0.58,0.38,0.07,0.41,0.07,0.1,-0.76,-1.09,-0.92,-0.64,0.15,-0.64,-0.01,-0.38,-1.18,-0.3,-1.36,-0.4,-1.22,-1.25,0.61,-0.42,0.48,-0.6,-0.36,?,0.28,0.71,1.12,0.03,0.43,0.43,-0.29,-0.67,?,-0.43,4/1/4/0@5/99/0/0@6/10/0/0 %  ytycl031c
0.08,-0.2,-0.04,-0.03,0.14,0.55,0.29,-0.25,-0.17,-0.29,-0.01,-0.17,-0.03,-0.34,-0.07,-0.29,0.2,-0.09,0.46,-0.15,-0.22,0.01,0.11,-0.1,0.01,-0.2,-0.34,-0.14,-0.3,-0.3,-0.38,-0.36,1.17,0.63,0.45,0.43,0.37,0.49,0.53,0.42,0.24,0.29,0.42,-0.22,0.11,0.04,-0.04,-0.4,-0.58,-0.58,0.12,-0.4,-0.17,-0.1,0.32,0.12,-0.42,-0.81,-0.14,-0.25,0.01,-0.32,0.19,0.12,0.06,-0.45,0.01,0.25,0.12,0.01,1,0.63,0.15,0.2,0.28,-0.36,-0.12,-1.03,0.12,5/7/0/0 %  ytypl179w
0.52,?,0.44,0.08,0.38,0.19,0.42,0.31,0.29,0.03,0.18,0.21,0.25,?,0.14,0.03,0.34,-0.1,0.14,0.2,0.1,0.38,0.39,0.34,0.39,0.15,0.01,-0.04,0.28,0.18,-0.1,0.14,0.11,-0.06,0.06,0.18,0.31,0.25,0.24,0.33,0.07,0.12,0.15,0.01,0.21,0.03,0.12,-0.07,-0.3,-0.54,-0.6,-0.42,-0.4,0.19,0.08,0.38,-0.51,-0.25,0.16,0.1,-0.42,-0.06,-0.03,0.42,0.2,-0.47,-0.09,-0.1,0.46,0.44,0.32,0.58,0.04,0.34,0.15,-0.3,-0.29,-0.56,0.14,13/1/1/1@40/10/0/0@40/16/0/0 %  ytycl017c
-0.25,-0.69,-0.43,-0.23,0.28,0.32,0.03,-0.1,-0.18,-0.07,0.2,-0.12,-0.18,?,0.15,0.15,0.25,-0.43,0.2,0.01,-0.3,-0.38,-0.23,-0.2,0.18,?,0.16,-0.04,-0.3,0.24,0.1,-0.18,0.16,0.18,0.18,0.7,0.64,0.23,0.31,0.07,0.14,0.65,0.06,-0.36,0.23,-0.1,-0.2,-0.04,-0.32,-0.38,-0.22,-0.15,-0.29,-0.27,0.1,-0.06,-0.27,-0.76,-0.18,-0.06,-0.43,-0.1,0.11,-0.4,-0.62,-0.74,-0.15,-0.42,0.26,-0.23,0.51,0.8,-0.04,-0.2,-0.22,-0.81,-0.45,-0.18,-0.22,4/5/1/4@40/10/0/0 %  ytykl032c
0.44,0.4,-0.34,-0.07,-0.04,0.01,0.14,-0.01,-0.04,-0.38,-0.32,-0.32,-0.3,-0.03,-0.06,-0.2,0.37,0.11,-0.43,-0.15,0.33,0.49,?,-0.01,0.3,-0.1,-0.17,-0.14,0.42,0.31,-0.1,-0.18,0.36,0.15,0.65,0.37,0.29,0.14,0.07,0.15,-0.03,0.14,0.04,0.37,-0.03,-0.14,-0.1,-0.34,-0.29,-0.27,-0.27,-0.17,-0.27,-0.22,-0.29,-0.67,-0.29,-0.43,-0.56,-0.51,0.16,-0.12,0.2,0.57,-0.27,-0.38,-0.49,-0.15,-0.17,0.26,0.44,0.63,-0.03,0.01,-0.1,-0.34,-0.17,-0.67,-0.74,11/1/0/0 %  ytyml016c
-0.01,?,0.01,0.06,0.04,?,-0.12,-0.23,0.15,-0.38,0.58,0.08,0.25,0.01,0.11,0.28,-0.32,-0.04,-0.86,?,0.44,0.56,0.16,0.41,0.12,-0.22,0.08,0.36,0.04,-0.04,0.14,-0.07,-0.38,0.42,-0.62,-1.43,-1,-0.12,-0.18,0.68,0.06,-1.18,-0.69,-0.14,-1.03,?,-0.86,0.15,0.53,-0.01,-0.51,0.23,0.58,0.52,-0.56,0.34,-0.89,-1.51,0.11,0.12,-0.43,0.04,0.07,-0.43,-0.43,-0.79,-0.79,-0.62,-0.12,0.03,1.33,0.21,0.15,0.01,0.07,-0.67,-0.64,-0.49,-0.84,2/16/0/0@40/16/0/0 %  ytyer073w
-1.18,-0.84,-0.12,-0.51,-0.2,0.33,0.21,0.07,0.06,-0.27,-0.18,-0.29,-0.29,-0.22,0.36,-0.15,0.2,0.06,0.3,-0.14,-0.29,0.39,0.08,-0.69,-0.07,?,0.08,-0.47,-0.27,-0.27,-0.17,-0.22,-0.58,-0.18,0.14,-0.14,-0.27,-0.51,-0.06,-0.03,-0.27,-0.45,-0.27,-1,0.03,-0.29,-0.22,-0.51,-0.3,-0.22,-0.12,0.04,-0.01,-0.3,0.2,-0.04,-0.97,-1.18,-0.51,-0.3,-0.2,0.77,0.86,0.62,-0.56,-1.15,-1.03,-0.32,0.46,0.59,0.52,0.29,-0.12,-0.15,-0.01,-0.4,-0.45,-0.54,-0.81,1/4/4/0@4/5/1/4@40/10/0/0@40/3/0/0 %  ytyfr034c
0.28,-0.06,0.07,0.29,0.07,0.03,0.07,0.2,0.12,-0.2,-0.03,-0.32,-0.12,-0.36,-0.3,0.04,-0.07,-0.09,-0.15,-0.25,0.12,0.07,0.23,0.11,0.07,-0.12,-0.09,-0.1,-0.09,-0.64,-0.01,-0.1,0.28,-0.15,-0.36,0.19,0.32,0.37,-0.58,-0.47,-0.3,0.16,-0.06,-0.14,-0.51,-0.56,-0.58,-0.01,0.03,-0.43,-0.2,0.07,-0.51,-0.29,-0.07,0.04,-0.23,-1.22,?,-0.15,-0.15,0.18,0.2,0.1,-0.42,-1.12,-0.23,-0.51,-0.04,0.28,-0.27,0.24,-0.25,-0.38,-0.1,-0.15,-0.17,-0.25,-0.12,1/1/4/0@1/2/4/0@4/5/1/4@40/10/0/0 %  ytymr042w
0.86,0.49,0.66,0.23,0.62,-0.1,0.44,0.21,?,0.19,0.11,0.45,0.21,0.1,0.5,0.14,0.03,0.54,-0.17,-0.67,0.57,-0.32,-0.22,-0.47,-0.3,-0.79,-0.1,-1.25,-0.74,-0.84,-1.25,-0.4,0.33,0.29,-0.01,0.25,0.34,0.26,-0.09,-0.32,-0.04,-0.12,-0.69,-0.2,-0.38,-0.4,-0.36,-0.69,-0.74,-0.74,-0.32,-0.3,-0.56,-0.4,-0.12,-0.69,-0.62,-0.3,-0.27,-0.54,-0.54,0.43,-0.03,0.37,-0.74,-0.25,-0.36,0.11,0.64,-0.58,0.36,0.37,-0.23,-0.38,-0.27,-0.1,?,-0.86,-0.81,67/50/25/0 %  ytypl058c
-0.03,-0.22,0.2,0.57,0.83,0.37,0.59,-0.38,0.07,-0.58,-0.22,0.11,0.16,0.55,0.6,1.03,0.43,-0.22,-0.84,-1.06,-1.32,-0.74,-0.32,0.04,0.26,0.06,0.21,0.23,-0.4,-0.18,-0.62,-0.07,0.7,0.52,0.94,1.32,0.69,-0.12,0.3,0.66,1.09,0.34,-0.42,-1.32,-0.04,-0.12,-0.12,-0.23,-0.64,-0.47,-0.56,-0.49,-0.3,-0.38,-0.47,-0.4,-1.29,-1.69,0.2,-0.79,-1.15,0.6,0.06,0.9,-1.89,-0.97,-0.18,-0.29,0.57,-0.89,0.61,0.6,0.07,0.41,0.49,0.46,0.2,-1.18,-1.25,1/5/1/0@40/2/0/0 %  ytylr342w
0.14,-0.18,0.14,0.06,0.01,0.04,0.14,0.31,0.04,0.38,0.51,-0.3,0.77,-0.32,-0.15,?,0.19,0.15,0.32,0.08,0.15,0.51,0.49,0.29,0.14,-0.12,-0.18,-0.09,-0.12,-0.32,-0.27,0.01,-0.15,0.08,0.65,-0.23,-0.36,-0.01,-0.42,0.07,-0.12,-0.4,-0.4,0.43,-0.38,-0.3,-0.32,0.08,-0.07,-0.32,-0.47,-0.47,-0.49,0.18,-0.01,?,0.21,-0.38,0.07,-0.6,0.1,0.19,-0.47,0.49,-0.67,-0.38,-0.62,-0.49,0.23,0.3,0.24,1.35,-0.18,1.13,-0.07,-0.22,-0.45,-0.51,-0.71,14/4/3/3@3/3/1/0@40/10/0/0@40/4/0/0@40/5/0/0 %  ytycl029c
0.14,-0.1,0.15,-0.14,?,-0.2,0.38,-0.07,0.1,0.03,0.32,-0.25,0.01,-0.54,0.16,0.2,0.07,-0.23,-0.58,-0.49,-0.29,-0.34,-0.32,-0.36,-0.22,-0.25,0.12,0.06,-0.1,0.23,0.04,-0.2,-0.18,-0.12,-0.09,-0.06,0.21,0.15,-0.1,-0.15,-0.06,-0.14,-0.29,0.15,-0.23,-0.45,-0.42,-0.32,-0.12,0.07,-0.42,-0.27,-0.27,0.2,-0.29,-0.56,-0.01,0.16,-0.1,-0.12,-0.23,0.73,0.26,0.87,-0.3,-0.29,?,-0.49,0.38,-0.04,0.59,-0.3,-0.15,-0.03,-0.22,-0.27,-0.42,-0.23,-0.3,1/5/4/0@4/5/1/1@40/10/0/0 %  ytydr443c
-0.25,-0.84,-0.18,-0.43,-0.06,0.42,-0.03,0.53,-0.04,-0.06,0.16,0.25,-0.23,-0.43,0.29,0.19,0.19,0.52,0.14,-0.34,-0.42,0.04,-0.42,-0.67,-0.38,-0.14,-0.06,-0.23,-0.62,-0.2,-0.2,-0.42,0.15,0.04,-0.29,-0.01,-0.04,-0.09,-0.06,-0.18,-0.15,-0.17,-0.29,-0.03,-0.06,-0.34,-0.38,-0.25,-0.18,0.15,-0.17,-0.25,-0.15,-0.32,-0.03,-0.36,-0.09,0.14,0.31,0.3,0.1,0.7,0.38,0.69,-0.25,-0.74,-0.09,-0.18,0.1,-0.09,0.19,0.53,0.26,0.21,0.08,-0.22,-0.18,-0.01,-0.6,4/5/1/1@4/5/1/4@40/10/0/0 %  ytybr198c
-0.14,-0.29,-0.01,-0.32,-0.23,-0.04,0.03,0.07,-0.06,-0.22,-0.29,-0.22,-0.17,-0.27,-0.17,-0.4,-0.23,-0.18,0.23,0.12,0.21,-0.22,-0.22,-0.03,0.48,0.16,-0.25,-0.06,0.14,-0.04,-0.51,-0.14,-0.06,-0.04,-0.23,-0.01,0.06,0.14,-0.22,-0.69,-0.43,-0.01,-0.71,-0.14,-0.06,-0.54,-0.27,-0.2,-0.15,-0.06,?,-0.25,-0.23,-0.18,-0.04,-0.27,-0.1,-0.32,-0.09,0.18,-0.14,0.6,0.41,1.08,-0.64,-0.12,-0.43,0.3,-0.34,0.24,0.77,0.61,0.14,0.08,0.04,-0.1,-0.34,-0.27,-0.09,40/25/0/0@6/4/0/0 %  ytynl054w
0.12,-0.23,?,-0.12,-0.07,0.1,0.29,0.38,0.1,-0.06,-0.17,-0.06,-0.03,0.12,-0.01,?,0.2,0.03,0.89,-0.47,-0.29,0.42,0.29,0.24,0.21,0.12,-0.42,0.33,0.18,-0.12,-0.4,-0.15,0.07,-0.18,-0.04,?,0.12,-0.22,-0.25,-0.4,-0.06,-0.2,-0.14,-0.81,-0.6,-0.4,-0.67,-0.06,-0.54,-2,-0.76,-0.42,-0.4,-0.3,-0.81,-0.29,-0.22,-0.3,0.14,0.79,0.68,0.12,0.56,0.72,-0.71,-0.81,-0.17,-0.42,0.42,0.1,0.69,0.95,0.21,0.34,0.3,-0.07,-0.12,0.07,-0.22,11/1/0/0 %  ytycr008w
-0.36,0.4,-0.17,-0.25,0.03,-0.17,0.21,-0.01,-0.04,-0.27,-0.18,-0.23,0.11,-0.36,0.04,0.04,-0.3,-0.03,-0.84,-0.22,-0.4,-0.06,-0.01,-0.2,-0.12,0.07,-0.14,0.23,-0.23,-0.14,-0.62,-0.06,-0.79,0.12,-0.36,-0.03,-0.38,-0.32,-0.43,0.08,-0.04,-0.25,-0.81,0.1,-0.56,-0.36,-0.49,-0.43,-0.43,-0.3,-0.03,-0.1,0.1,-0.43,0.03,0.1,-0.27,-0.07,0.25,-0.09,0.37,0.57,0.23,0.25,-0.47,-0.29,-0.47,-0.36,-0.04,0.48,-0.2,1.52,-0.04,-0.27,-0.04,-0.43,-0.51,-0.89,-0.58,4/5/5/1@40/10/0/0 %  ytynr011c
0.23,-0.14,0.24,0.07,0.08,-0.18,0.06,0.24,0.33,0.08,0.07,-0.14,-0.12,-0.25,-0.01,-0.04,-0.6,-0.12,-0.25,-0.58,-0.34,0.24,0.11,-0.15,-0.04,-0.06,-0.34,-0.47,-0.42,-0.38,-0.34,-0.45,0.39,0.1,-0.04,-0.36,-0.56,-0.1,-0.45,-0.36,-0.51,0.1,-0.22,0.23,-0.6,-0.29,-0.25,-0.15,-0.4,-0.09,-0.36,-0.58,-1.06,-0.86,-0.54,-0.92,0.26,0.7,0.2,-0.27,0.04,-0.4,-0.34,0.26,-0.14,-0.17,-0.36,-0.42,0.01,0.9,0.26,0.52,0.08,-0.04,0.36,-0.09,-0.22,0.39,-0.07,4/3/6/0 %  ytymr283c
-0.17,-0.17,-0.54,-0.06,-0.14,?,0.18,0.23,0.25,-0.14,-0.06,-0.14,-0.09,-0.36,-0.14,-0.04,0.18,0.03,0.44,-0.15,-0.06,-0.09,0.18,-0.17,-0.38,-0.36,-0.15,-0.09,0.06,-0.14,-0.34,-0.38,0.34,0.29,0.07,0.32,0.18,0.24,0.03,-0.09,-0.09,0.14,?,-0.23,0.01,-0.3,-0.17,-0.09,-0.49,-0.23,-0.3,-0.47,-0.43,-0.58,-0.1,-0.34,-0.51,-0.25,-0.3,-0.3,0.12,-0.4,-0.4,0.3,-0.2,-0.27,-0.42,-0.38,0.01,0.54,0.57,0.63,0.12,0.21,0.37,-0.14,0.03,0.7,0.46,1/6/1/0 %  ytyor171c
-0.38,-0.38,-0.43,-0.06,-0.64,-0.67,-0.38,0.12,-0.32,-0.15,-0.04,0.43,-0.47,-0.03,-0.36,0.38,-0.43,0.06,0.2,-0.22,0.14,0.08,-0.34,0.01,-0.22,0.28,-0.03,-0.18,-0.42,-0.06,-0.58,-0.06,-0.23,0.01,-0.3,-0.04,-0.2,-0.51,0.04,-0.12,0.52,-0.36,-0.51,-0.04,-0.07,-0.06,-0.34,-0.04,-0.15,-0.23,?,-0.29,-0.09,-0.12,-0.1,0.14,0.34,0.08,-0.17,0.36,0.14,0.18,-0.04,0.58,-0.89,-0.15,-0.76,-0.69,0.34,0.32,0.93,0.29,-0.06,0.08,0.42,0.48,0.21,0.77,0.34,4/1/1/0@4/3/1/0@40/10/0/0 %  ytyal001c
-0.36,-0.12,-0.6,-0.38,-0.54,0.14,-0.47,-0.36,-0.29,0.31,-0.45,-0.34,-0.22,-0.45,-0.56,-0.3,-0.15,-0.12,0.3,0.54,0.26,-0.07,-0.14,-0.29,-0.1,0.06,-0.1,0.18,0.26,0.33,-0.01,0.52,0.23,0.16,-0.18,-0.03,-0.3,-0.17,-0.18,-0.1,-0.42,-0.25,-0.34,0.23,-0.07,-0.4,-0.23,-0.25,-0.56,-0.47,-0.38,-0.04,0.44,-0.09,0.23,0.23,-0.3,-0.3,0.1,0.77,0.58,0.54,0.12,0.43,-0.47,-0.34,-0.4,0.08,-0.2,0.38,0.78,0.92,-0.23,-0.36,-0.27,-0.3,-0.42,0.06,-0.79,4/3/3/0@40/10/0/0 %  ytyir015w
-0.04,-0.09,0.03,-0.06,0.06,-0.49,0.16,-0.25,-0.17,-0.18,-0.17,-0.2,0.06,-0.51,-0.17,-0.3,0.04,-0.27,0.18,-0.2,-0.29,-0.38,-0.54,-0.4,-0.45,-0.15,0.03,-0.03,-0.32,0.15,0.06,0.07,0.15,0.08,0.1,0.06,0.44,0.38,0.41,0.33,-0.23,0.12,0.21,-0.76,0.08,-0.04,-0.54,-0.4,-0.92,-1.22,-0.34,0.11,-0.89,-0.14,0.14,-0.06,-0.4,-1.06,0.49,1.01,0.61,0.55,0.86,0.31,-0.06,-0.2,0.07,-0.12,0.38,0.93,0.59,0.33,-0.69,-0.58,-0.45,-0.43,-0.43,-0.36,-0.36,3/1/5/1 %  ytyil153w
-0.25,-0.04,0.03,0.19,-0.3,-0.38,-0.58,?,-0.3,-0.23,-0.3,0.03,-0.06,-0.34,-0.2,-0.07,-0.42,-0.17,0.91,0.01,0.23,-0.04,-0.27,?,0.07,-0.07,-0.01,0.18,0.18,0.14,0.1,0.29,-0.36,-0.17,-0.47,-0.18,-0.22,-0.14,0.32,0.29,-0.12,-0.15,-0.32,0.59,0.19,0.1,-0.04,-0.2,0.34,0.16,-0.18,-0.06,0.01,-0.07,-0.17,0.44,0.99,0.52,0.25,0.77,0.42,0.53,0.34,0.49,-0.71,-0.86,0.11,-0.38,-0.1,0.48,0.5,0.77,-0.3,-0.25,-0.18,-0.29,-0.4,0.07,0.19,5/99/0/0 %  ytyhr189w
-0.58,0.44,-0.56,0.01,-0.3,?,0.1,0.14,-0.36,-0.25,?,0.41,-0.29,-0.18,-0.17,0.49,-0.22,0.62,-0.38,-0.38,-0.47,0.11,-0.32,-0.23,-0.62,-0.32,-0.2,0.06,-0.47,-0.47,-0.94,-0.36,-0.29,0.11,-0.2,0.54,-0.47,-0.43,-0.56,0.52,-0.3,-0.69,-0.23,0.28,-1.03,-0.07,-0.81,-0.62,-0.17,-0.45,-0.51,-0.22,-0.34,0.11,0.21,0.28,0.48,-0.07,1.33,-0.29,0.53,0.45,-0.43,0.26,-0.86,-0.18,-0.94,-1.32,0.18,0.48,0.18,0.4,-0.69,0.29,-0.18,-0.51,-0.71,0.12,-0.06,1/1/1/0@1/2/4/0 %  ytybr213w
-0.18,0.14,0.19,-0.12,?,-0.04,?,0.16,0.03,-0.42,-0.2,-0.38,-0.22,-0.27,-0.23,-0.15,?,?,0.82,-0.01,-0.06,0.34,0.15,-0.22,-0.07,-0.38,-0.58,-0.51,-0.18,-0.38,-0.62,-0.32,-0.2,0.12,-0.03,-0.34,-0.6,-0.15,-0.22,0.34,-0.06,-0.32,0.03,0.19,-0.18,-0.07,0.12,0.06,0.34,0.33,-0.12,-0.23,-0.03,0.38,-0.64,-0.38,0.46,0.68,0.2,-0.25,0.06,0.04,-0.32,0.7,-0.71,0.21,-0.76,-0.74,0.37,0.19,0.9,0.41,-0.15,-0.14,0.66,0.11,-0.2,0.76,0.37,40/3/0/0@8/13/0/0 %  ytypl065w
-0.18,-0.42,-0.3,?,-0.06,-0.17,0.08,-0.1,-0.34,-0.14,-0.3,-0.3,-0.2,-0.49,-0.51,-0.32,-0.15,-0.23,-0.12,-0.6,-0.54,-0.6,-0.25,-0.69,-0.45,-0.6,-0.3,-0.3,-0.34,-0.43,-0.15,-0.51,-0.22,0.06,0.29,-0.34,-0.1,?,-0.23,-0.22,-0.23,-0.27,-0.36,0.04,-0.58,-0.25,0.03,-0.27,0.19,0.41,0.12,-0.22,-0.45,0.11,-0.3,-0.84,0.39,0.87,?,-0.34,0.14,0.03,-0.12,1.35,-0.15,-0.18,-0.32,-0.74,0.18,0.49,0.45,0.39,-0.38,-0.09,0.44,-0.12,0.12,0.39,0.53,30/10/0/0 %  ytydr181c
0.31,0.16,0.95,0.32,0.5,0.11,0.63,0.59,0.25,0.37,0.04,0.2,0.19,0.1,-0.04,0.16,-0.42,0.45,-0.23,-0.4,-0.29,-0.23,-0.1,-0.64,-0.14,-0.23,-0.29,-0.47,-0.38,-0.29,-0.36,-0.14,-0.04,-0.12,-0.07,-0.62,-0.6,-0.32,0.28,0.75,-0.36,-1.22,-0.56,?,-0.56,-0.07,-0.36,-0.4,-0.58,-1.15,-1.6,-0.76,-1.79,0.41,-0.15,-1.4,-0.15,-0.06,?,0.16,0.58,0.33,0.46,0.78,-0.79,0.06,-0.69,-0.27,1.07,0.7,0.81,2.06,-0.49,-0.22,0.58,-0.34,-0.14,0.68,0.93,1/3/4/0 %  ytynl332w
